Date,Ajo
2007-01,2.25527
2007-02,3.934884
2007-03,3.09883
2007-04,2.33903
2007-05,3.47656
2007-06,5.06528
2007-07,3.45019
2007-08,6.34629
2007-09,6.916003
2007-10,5.56987
2007-11,22.76683
2007-12,15.676851
2008-01,2.654449
2008-02,3.22312
2008-03,3.503597
2008-04,2.659499
2008-05,3.266
2008-06,3.6282
2008-07,4.027249
2008-08,7.36045
2008-09,7.505423
2008-10,13.074489
2008-11,12.672655
2008-12,4.02141
2009-01,2.565774
2009-02,2.22895
2009-03,2.86865
2009-04,2.39147
2009-05,3.87467
2009-06,3.05236
2009-07,3.077109
2009-08,5.85503
2009-09,3.52947
2009-10,5.561646
2009-11,13.89111
2009-12,9.09261
2010-01,1.483789
2010-02,0.73817
2010-03,0.97315
2010-04,1.36316
2010-05,2.69987
2010-06,2.967938
2010-07,2.803189
2010-08,4.403414
2010-09,6.548979
2010-10,10.86505
2010-11,18.088069
2010-12,10.02695
2011-01,2.65605
2011-02,0.57274
2011-03,1.387889
2011-04,2.10786
2011-05,2.647297
2011-06,4.152778
2011-07,2.82721
2011-08,6.538158
2011-09,10.750148
2011-10,11.189334
2011-11,30.757709
2011-12,12.88061
2012-01,3.3994
2012-02,2.76181
2012-03,3.19149
2012-04,2.91905
2012-05,3.81596
2012-06,3.1213
2012-07,3.037966
2012-08,3.81182
2012-09,5.776913
2012-10,11.19334
2012-11,24.06987
2012-12,15.066029
2013-01,5.82448
2013-02,1.454529
2013-03,1.44038
2013-04,2.07241
2013-05,2.939598
2013-06,3.28222
2013-07,3.16314
2013-08,5.60149
2013-09,10.15876
2013-10,11.131672
2013-11,23.511759
2013-12,10.826879
2014-01,2.78337
2014-02,1.092779
2014-03,3.22308
2014-04,3.843579
2014-05,3.41836
2014-06,3.069664
2014-07,3.688465
2014-08,5.80308
2014-09,8.946916
2014-10,11.100947
2014-11,24.957137
2014-12,9.577485
2015-01,1.81624
2015-02,1.92193
2015-03,3.371969
2015-04,3.63539
2015-05,3.14183
2015-06,3.97704
2015-07,4.480075
2015-08,7.1397
2015-09,9.678208
2015-10,9.623558
2015-11,28.057335
2015-12,12.908988
2016-01,2.10072
2016-02,1.70885
2016-03,3.06892
2016-04,3.92137
2016-05,2.93685
2016-06,4.1985
2016-07,4.108851
2016-08,5.486442
2016-09,6.358775
2016-10,9.595627
2016-11,21.755957
2016-12,12.964528
2017-01,3.94281
2017-02,2.08257
2017-03,2.54403
2017-04,3.212599
2017-05,3.66558
2017-06,4.96726
2017-07,6.419158
2017-08,7.110583
2017-09,8.280812
2017-10,9.753015
2017-11,26.401698
2017-12,16.519858
2018-01,6.64251
2018-02,2.26005
2018-03,1.374664
2018-04,2.4035
2018-05,3.5121
2018-06,5.99723
2018-07,4.607978
2018-08,3.245923
2018-09,6.157753
2018-10,13.332366
2018-11,36.60313
2018-12,18.56554
2019-01,4.966719
2019-02,1.61334
2019-03,1.14817
2019-04,2.61035
2019-05,2.74278
2019-06,3.92148
2019-07,2.74324
2019-08,4.678641
2019-09,6.214938
2019-10,11.284312
2019-11,17.990264
2019-12,23.076897
2020-01,3.45103
2020-02,2.06063
2020-03,1.45204
2020-04,2.064349
2020-05,3.54125
2020-06,4.328
2020-07,3.15547
2020-08,5.369254
2020-09,8.26356
2020-10,10.881855
2020-11,29.411708
2020-12,16.738194
2021-01,4.16472
2021-02,2.53897
2021-03,1.08763
2021-04,2.173949
2021-05,3.919318
2021-06,5.86589
2021-07,6.5631
2021-08,5.210474
2021-09,5.95277
2021-10,10.785375
2021-11,37.115084
2021-12,24.184287
2022-01,4.351509
2022-02,1.37772
2022-03,1.15044
2022-04,2.54836
2022-05,3.53928
2022-06,4.250881
2022-07,4.717587
2022-08,4.27281
2022-09,8.998214
2022-10,14.305948
2022-11,36.412115
2022-12,27.807171
2023-01,5.242243
2023-02,1.59152
2023-03,0.9657
2023-04,1.43533
2023-05,3.81744
2023-06,4.9719
2023-07,4.137889
2023-08,5.121603
2023-09,8.195868
2023-10,23.18609
2023-11,20.409312
2023-12,18.525463
2024-01,2.43258
2024-02,0.8292
2024-03,0.98655
2024-04,1.942278
2024-05,4.69819
2024-06,5.583408
2024-07,3.61812
2024-08,4.120558
